date_logged,sport,matchup,game_date,pick,pitcher,price,edge_pct,win_prob_pct,confidence,num_books,reasoning,result,date_graded,bet_type,line
2026-07-17,baseball_mlb,Detroit Tigers @ Los Angeles Angels,"Jul 18, 2026 01:39 AM UTC",Detroit Tigers,Troy Melton,1.89,15.2,61.0,74,9,x,WIN,2026-07-18,,
2026-07-17,baseball_mlb,Washington Nationals @ Athletics,"Jul 18, 2026 01:41 AM UTC",Washington Nationals,Cade Cavalli,1.94,6.8,55.2,59,9,x,WIN,2026-07-18,,
2026-07-18,baseball_mlb,Chicago White Sox @ Toronto Blue Jays,"Jul 18, 2026 07:08 PM UTC",Chicago White Sox,Davis Martin,1.95,19.4,61.4,72,9,x,WIN,2026-07-18,,
2026-07-18,baseball_mlb,Texas Rangers @ Atlanta Braves,"Jul 18, 2026 08:11 PM UTC",Atlanta Braves,Owen Murphy,1.88,5.2,55.8,59,9,x,WIN,2026-07-18,,
2026-07-18,baseball_mlb,Tampa Bay Rays @ Boston Red Sox,"Jul 18, 2026 08:11 PM UTC",Boston Red Sox,Patrick Sandoval,1.88,9.3,58.2,65,9,x,WIN,2026-07-18,,
2026-07-18,baseball_mlb,San Diego Padres @ Kansas City Royals,"Jul 18, 2026 08:11 PM UTC",Kansas City Royals,Randy Dobnak,1.95,8.0,55.4,61,9,x,WIN,2026-07-18,,
2026-07-18,baseball_mlb,Detroit Tigers @ Los Angeles Angels,"Jul 19, 2026 02:08 AM UTC",Detroit Tigers,Tarik Skubal,1.51,-2.0,64.7,58,9,x,WIN,2026-07-18,,
2026-07-19,baseball_mlb,Tampa Bay Rays @ Boston Red Sox,"Jul 19, 2026 05:36 PM UTC",Boston Red Sox,Sonny Gray,1.82,0.4,55.2,53,9,x,WIN,2026-07-19,,
2026-07-19,baseball_mlb,Washington Nationals @ Athletics,"Jul 19, 2026 08:06 PM UTC",Washington Nationals,Foster Griffin,1.71,16.2,68.1,80,9,x,WIN,2026-07-19,,
2026-07-19,baseball_mlb,Detroit Tigers @ Los Angeles Angels,"Jul 19, 2026 08:08 PM UTC",Detroit Tigers,Casey Mize,1.65,10.2,67.0,72,9,x,LOSS,2026-07-19,,
